period,report,source_url
2007,23rd Statistical Report,https://www3.cnnic.cn/NMediaFile/2022/0830/MAIN1661848328683YK36NWDGG4.pdf
2008,23rd Statistical Report,https://www3.cnnic.cn/NMediaFile/2022/0830/MAIN1661848328683YK36NWDGG4.pdf
2009,25th Statistical Report,https://www.cnnic.cn/NMediaFile/old_attach/P020120612484949500779.pdf
2010,27th Statistical Report,https://www.cac.gov.cn/files/pdf/hlwtjbg/hlwlfzzkdctjbg027.pdf
2011,29th Statistical Report,https://www.cnnic.cn/n4/2022/0401/c88-803.html
2012,32nd Statistical Report,https://www.cnnic.cn/NMediaFile/old_attach/P020130717505343100851.pdf
2013,35th Statistical Report,https://www3.cnnic.cn/NMediaFile/old_attach/P020150203548852631921.pdf
2014,35th Statistical Report,https://www3.cnnic.cn/NMediaFile/old_attach/P020150203548852631921.pdf
2015,37th Statistical Report,https://www.cnnic.com.cn/IDR/ReportDownloads/201604/P020160419390562421055.pdf
2016,39th Statistical Report,https://www.cnnic.com.cn/IDR/ReportDownloads/201706/P020170608523740585924.pdf
2017,41st Statistical Report,https://www.cac.gov.cn/files/pdf/cnnic/CNNIC41.pdf
2018,43rd Statistical Report,https://www.cnnic.com.cn/IDR/ReportDownloads/201911/P020191112538996067898.pdf
2020,51st Statistical Report,https://www.cnnic.com.cn/IDR/ReportDownloads/202307/P020230829505026163347.pdf
2021,51st Statistical Report,https://www.cnnic.com.cn/IDR/ReportDownloads/202307/P020230829505026163347.pdf
2022,51st Statistical Report,https://www.cnnic.com.cn/IDR/ReportDownloads/202307/P020230829505026163347.pdf
2023,55th Statistical Report,https://www2.cnnic.cn/NMediaFile/2025/0428/MAIN17458061595875K4FP1NEUO.pdf
2024,55th Statistical Report,https://www2.cnnic.cn/NMediaFile/2025/0428/MAIN17458061595875K4FP1NEUO.pdf
