submarket,period,source_rmb_100m,expected_rmb_trillion,sse_main_rmb_100m,szse_main_rmb_100m
Main Boards,2019,522949.3065,52.29493065,346882.06,176067.2465
Main Boards,2020,654408.9178,65.44089178,421830.88,232578.0378
Main Boards,2021,719542.3200,71.95423200,463392.78,256149.54
Main Boards,2022,617133.5891,61.71335891,405635.80,211497.7891
Main Boards,2023,597779.3736,59.77793736,401509.81,196269.5636
Main Boards,2024,666750.7987,66.67507987,460879.99,205870.8087
Main Boards,2025,799704.53,79.970453,544575,255129.53
STAR Market,2019,8637.64,0.863764,,
STAR Market,2020,33490.72,3.349072,,
STAR Market,2021,56305.56,5.630556,,
STAR Market,2022,58150.96,5.815096,,
STAR Market,2023,61617.42,6.161742,,
STAR Market,2024,63429.00,6.342900,,
STAR Market,2025,103196,10.3196,,
ChiNext,2010,7365.2189,0.73652189,,
ChiNext,2011,7433.7922,0.74337922,,
ChiNext,2012,8731.2046,0.87312046,,
ChiNext,2013,15091.9785,1.50919785,,
ChiNext,2014,21850.9493,2.18509493,,
ChiNext,2015,55916.2478,5.59162478,,
ChiNext,2016,52254.5043,5.22545043,,
ChiNext,2017,51288.8135,5.12888135,,
ChiNext,2018,40459.5874,4.04595874,,
ChiNext,2019,61347.6185,6.13476185,,
ChiNext,2020,109338.5407,10.93385407,,
ChiNext,2021,140240.3038,14.02403038,,
ChiNext,2022,112721.3588,11.27213588,,
ChiNext,2023,113733.9152,11.37339152,,
ChiNext,2024,124540.7225,12.45407225,,
ChiNext,2025,177278.83,17.727883,,
Beijing Stock Exchange,2021,2722.75,0.272275,,
Beijing Stock Exchange,2022,2110.29,0.211029,,
Beijing Stock Exchange,2023,4496.41,0.449641,,
Beijing Stock Exchange,2024,5386.01,0.538601,,
Beijing Stock Exchange,2025,8694,0.8694,,
